"NPS","Molecular.volume..A3._NPS","Hydrogen.Bond.Acceptor.Count_NPS","AmphM_NPS","X0A_dragon_NPS","Yindex_dragon_NPS","IC2_dragon_NPS","SIC3_dragon_NPS","IC4_dragon_NPS","DISPv_dragon_NPS","L1u_dragon_NPS","G2u_dragon_NPS","G2m_dragon_NPS","E2e_dragon_NPS","G3s_dragon_NPS","E2s_dragon_NPS","Dm_dragon_NPS","nCconj_dragon_NPS","C.003_dragon_NPS","H.052_dragon_NPS","Depressant.80_dragon_NPS","PetitjeanNumber_padel_NPS","JGI8_padel_NPS","JGI9_padel_NPS","WNSA.1_padel_NPS"
"MC",-0.951569547378218,-0.577350269189626,0.237214957135613,1.38043674889094,0.693659866909342,-0.120711425710801,0.648157864029368,-0.327459517030596,-0.467018341097896,0.0868397251405615,0.0567991995249378,-0.121231133479935,1.29761281236059,1.43935684160696,0.0892352361706986,-0.566378745315422,-0.359937016532678,-0.409673245199351,-1.02408805173054,-0.526234811584218,-2.68540749651899,0.888064864390137,-1.67476464461705,-0.263602936205166
"EC",-0.685683906638134,-0.577350269189626,-0.148275557362962,1.01568720141975,0.574038285492122,0.055699948291331,0.774593803207658,0.204952335472728,-0.268964743657304,0.287875144741377,0.138842487727626,3.19451908871155,0.307519527466317,-0.577528293027962,-0.0875707864468526,-0.595056399429034,-0.359937016532678,-0.409673245199351,1.01171040706579,-0.526234811584218,0.401897716787092,0.0918500315086722,1.48863098133019,-1.28689915638088
"ETO",-0.763756292819667,-0.577350269189626,0.0290762126520831,1.01568720141975,0.574038285492122,1.83076573517164,1.43386691463731,0.17642478009528,0.744615837639686,0.304606583769981,1.45153509897064,0.226717963910529,-0.65343842505946,-0.577528293027962,-0.839125126098512,-0.933725748699491,3.14944889466093,-0.409673245199351,1.01171040706579,-0.526234811584218,0.401897716787092,0.0918500315086722,1.48863098133019,0.423459709051458
"IAC",-0.121649352437315,-0.577350269189626,-0.510011170008852,0.869787382431281,0.191290643409537,0.54687334485585,0.675251279567572,0.770595205837754,0.71821277729177,-1.547497968755,-0.271373953285817,-0.407777448977965,0.932558572242428,-0.613636211039329,0.507097358901292,0.607466649924039,-0.359937016532678,2.25320284859643,0.542988137527146,1.75411603861406,0.401897716787092,0.43308490460638,0.855951856140742,-0.353419187473054
"ML",-0.145931891514868,-0.577350269189626,1.42795048357234,0.0673383779946793,-0.509645282567767,-1.4525091314454,-0.670388358829946,-0.901791087872601,1.05208827273614,0.586244802319878,0.220885775930314,-0.14169872744408,-1.33727027255447,-0.613636211039329,-1.97726956954636,0.326906826382633,-0.359937016532678,-0.409673245199351,-1.02408805173054,1.75411603861406,-1.73546738813904,0.43308490460638,0.43416587812763,-1.3950155911763
"EL",0.0193541104137517,-0.577350269189626,-0.222914693467807,-0.15151135048803,-0.577169597757883,-1.11253524293904,-0.46267217303704,-0.35611104148846,-0.166143122829713,1.02015102195444,-0.927720258907325,-0.448712636906255,1.28084881830942,1.43935684160696,-0.539624189904645,-0.537630783820126,-0.359937016532678,-0.409673245199351,1.01171040706579,-0.526234811584218,0.401897716787092,0.0918500315086722,0.132890089164105,-0.953276518234525
"IAL",0.390315164402853,-0.577350269189626,0.389587861271691,-0.0785614409937938,-0.760649627920756,-0.383399687685486,-0.254955987244134,0.425819962085043,-0.676037103671501,-0.893523071540567,-0.927720258907325,-0.38730985501382,0.0804273316056103,-0.603319663036082,0.767822047907524,1.26852851850379,-0.359937016532678,2.25320284859643,0.542988137527146,-0.526234811584218,0.401897716787092,0.308999461028991,0.223272730951294,0.39426167191628
"EM",0.270607327287205,-0.577350269189626,1.65689851457787,-0.516260897959205,-0.983500760366473,-1.61483052743194,-0.959384791237467,-1.04941098634118,0.0993214476158133,1.25401979013392,2.31298962509887,-0.530583012762835,1.34778129673518,1.43935684160696,-0.925057050384193,-0.465452899344877,-0.359937016532678,-0.409673245199351,1.01171040706579,-0.526234811584218,0.401897716787092,-0.385878945612294,-0.268811173680305,0.472511637143173
"IPM",0.40425596367665,-0.577350269189626,1.37404897626996,-0.0785614409937938,-0.935969656893565,-1.60068714456859,-1.02260276082661,-1.12509308708335,0.0429312476464995,1.31352680447224,5.84085101781448,1.18869488022534,0.0253575044495236,-0.647164992049884,-1.41096390757102,-0.523230419419041,-0.359937016532678,-0.409673245199351,2.0021341414036,-0.526234811584218,0.401897716787092,0.308999461028991,0.223272730951294,1.3003274028125
"EO",0.623443695861629,-0.577350269189626,1.03412801275146,-1.09986017391311,-1.59366953397932,0.0929171656474409,-0.164644602116785,1.50326851374978,-0.947836594877053,-0.615672034688908,-0.271373953285817,-0.203101509336516,0.0712644643904122,-0.66779808805638,1.3301170196276,1.60221161499111,-0.359937016532678,-0.409673245199351,1.01171040706579,-0.526234811584218,0.401897716787092,-0.931854974744891,-0.701412168659404,-1.08997207856762
"GTB",0.233328390676189,1.73205080756888,-1.75306925459258,0.7238875634428,1.59701757876619,1.13117727072077,-0.57104583518986,-1.81934821366633,0.28698803793225,-0.576729858214533,-0.640568750197915,-0.284971885193095,-0.721271005988741,-0.662639814054756,-0.0428278753762446,-0.378257624586777,-0.359937016532678,-0.409673245199351,-1.02408805173054,1.75411603861406,0.401897716787092,2.0027655530321,0.302357621599975,0.616822549982108
"GTC",1.15843114312757,1.73205080756888,-0.32555957656924,-0.808060535936159,0.507174971980558,0.173997598808705,-0.814886575033706,0.507655875142842,-0.32095730325983,-0.282740372121941,-1.4610016322248,-0.63292098258356,-0.338123498263221,-0.670377225057192,1.85994900899363,1.16986391853357,-0.359937016532678,-0.409673245199351,-1.02408805173054,-0.526234811584218,0.401897716787092,-0.0918919423009983,-0.0478755107498358,0.996800793132332
"GTO",1.98574758969219,1.73205080756888,-0.283357159203612,-2.12115890683242,-1.13997878391921,-0.0969177476512013,-1.5102842405143,1.61616586030791,-2.02120614583985,1.73809240134973,0.220885775930314,-0.55105060672698,-1.61447119618461,-0.770963568088857,-0.332500602454477,0.404252892634915,-0.359937016532678,-0.409673245199351,-1.02408805173054,-0.526234811584218,0.401897716787092,-0.635129065435656,-0.55827199632048,1.99434880410691
"MS",-2.01263643067324,0,-1.53166863075601,-0.297411169476503,1.42739395446153,0.94947269936815,1.87639270176133,-0.750761686292164,1.96693698201747,-1.36166616408896,0.0978208436262821,0.288120745802964,-0.65343842505946,1.43935684160696,0.18975452861055,-1.90272821977434,0.809858287198525,-0.409673245199351,-1.02408805173054,-0.526234811584218,0.401897716787092,-2.29679485409616,-1.67476464461705,0.443980302705564
