"PS","Molecular.volume..A3._PS","XlogP3_PS","Hydrogen.Bond.Donor.Count_PS","Hydrogen.Bond.Acceptor.Count_PS","AmphM_PS","J_dragon_PS","MPC05_dragon_PS","IDDE_dragon_PS","BIC0_dragon_PS","CIC3_dragon_PS","GGI4_dragon_PS","SPAM_dragon_PS","MEcc_dragon_PS","P2u_dragon_PS","E1u_dragon_PS","L1v_dragon_PS","L3s_dragon_PS","De_dragon_PS","Ds_dragon_PS","nOHs_dragon_PS","C.001_dragon_PS","H.052_dragon_PS","ALOGP2_dragon_PS","B03.O.O._dragon_PS","F01.C.C._dragon_PS","VC.3_padel_PS","ASP.4_padel_PS","VE1_D_padel_PS","PPSA.1_padel_PS","DPSA.3_padel_PS","FNSA.2_padel_PS","WNSA.1_padel_PS","MOMI.XY_padel_PS","geomRadius_padel_PS"
"EG",-1.7876173241099,-0.946993096220236,0.544627997024718,-0.764719112901872,-1.21248127828178,-1.57856945750778,-0.807547454599406,-1.34792056334517,1.07090768680861,1.34467195889004,-0.451231316590094,0.613897119108225,1.16666666666665,-0.748475333277407,-0.599994689783117,-0.884624402053881,-1.09112981216941,0.335496439079507,-1.11827005676435,-0.666666666666667,-0.843274042711568,-1.02415958419653,1.02243608596044,0.666666666666667,-1.75051416445897,-1.49488677933231,-1.17690241274773,-0.637790337222235,0.159602450357049,0.376228301620329,0.757710908145392,-0.811470359106416,-0.972346246859122,-0.546464459696345
"PG",-0.269146878012052,-0.211317601231992,0.544627997024718,-0.764719112901872,-0.363429740458499,0.369056253511116,-0.807547454599406,0.39599773533702,-0.407360419807137,-0.374983763465007,-0.451231316590094,-1.3466130354632,-1.83333333333335,0.41681778401022,-0.985705561786548,-0.41568067056163,-0.0516322895640587,-0.925209252100703,-1.05333249673516,1.33333333333333,1.05409255338946,0.923564148873547,0.0655115819468012,0.666666666666667,-0.365522704999033,0.961552662638948,-1.17690241274773,1.05183878528496,-1.1236020345648,-1.27103711426816,0.730209395238107,-1.54037851370396,0.256467915046472,-0.504649751587586
"1,3PD",-0.372444187270408,-0.377065351314311,0.544627997024718,-0.764719112901872,-0.858998792440135,-0.74542247638446,-0.807547454599406,-0.327963890198393,-0.407360419807137,1.17296336270024,-0.451231316590094,0.257440727367965,1.16666666666665,-1.2601301971322,-1.0408071149299,0.675122239823063,-1.09112981216941,0.553396188172382,-0.487498627923722,-0.666666666666667,-0.843274042711568,-1.02415958419653,0.899883932324315,-1.33333333333333,-0.365522704999033,-1.49488677933231,1.78791755044909,-0.637790337222231,-0.420991283038754,-0.464872855616347,0.924333560870804,-1.38115198092393,-1.14849681027503,-0.493997246598706
"1,2BD",1.11503706604993,1.38679110178289,0.544627997024718,-0.764719112901872,0.425402771299736,0.941755337304477,-0.807547454599406,0.388966494991249,-1.39573985065019,-0.271263487309536,-0.451231316590094,-0.767371398885282,-0.333333333333185,-0.659622085377589,-0.186733041208011,1.08730764634856,0.702431991827988,-0.458281218330256,-1.08571846295815,1.33333333333333,1.05409255338946,0.487894583137505,-1.10684449924904,0.666666666666667,1.19270922981805,0.242078207791332,1.22779296688711,-0.637790337222235,-0.299922006328428,-1.28458783324064,0.570007777064506,-1.17030927169474,-0.601474915800995,0.28219336421722
"1,3BD",1.12020193151285,0.827226924702014,0.544627997024718,-0.764719112901872,-0.368785640676103,0.610744025679866,-0.807547454599406,0.388966494991249,-1.39573985065019,-0.271263487309536,-0.451231316590094,-1.25749893752814,-0.333333333333185,-0.630098049742579,-0.0765299349213156,1.13262568089788,0.589897239917603,-0.255945737029727,-0.820778854240493,1.33333333333333,1.05409255338946,0.923564148873547,-0.131706165281699,-1.33333333333333,1.19270922981805,0.961552662638948,1.22779296688711,1.47747558701903,0.0109169981901381,-0.678142701201641,0.834668348967053,-1.14446583513498,-0.598415542819328,0.273987893950907
"1,4BD",1.03239921864324,-0.0339645815125919,0.544627997024718,-0.764719112901872,-0.725345712389566,-0.241880320322111,0.420383777919033,-0.210982966803719,-1.39573985065019,1.42913846103814,0.68872148321646,-0.00990156643722752,1.16666666666665,-1.6923053722014,-0.517342360068095,1.65731025588508,-1.09112981216941,1.25378823882806,-0.341832149391774,-0.666666666666667,-0.843274042711568,1.27372087276401,-0.740798856384336,-1.33333333333333,1.19270922981805,-1.49488677933231,0.897152461431531,-0.637790337222228,1.25013161338342,0.64428828737294,0.768761438411032,0.301162802233551,-1.25084987788626,2.53975004362681
"GL",-0.284641474400805,-1.40629776975559,1.54849697779207,0.611775290321498,-1.40778103718409,0.941755337304477,-0.807547454599406,0.388966494991249,-0.160628657005682,0.857427734406102,-0.451231316590094,-0.500029105080085,-0.333333333333185,0.135765708000261,-0.820400902356505,0.216716921135495,1.14056931894759,-0.862952180931311,-0.438551003816696,1.33333333333333,-0.843274042711568,-1.02415958419653,1.60927037195528,0.666666666666667,-0.365522704999033,0.242078207791332,1.22779296688711,-0.637790337222231,1.3478952691927,1.63619890507665,-0.379593381417665,1.23251182022453,-0.553446206875418,-0.504720670501818
"PA",-1.18849293041143,1.09317174291988,-0.446203703415439,0.611775290321498,0.389783105531292,1.50291240590805,-0.807547454599406,-1.51759788177463,1.61168622123687,-0.561720158822899,-0.451231316590094,1.86149449019914,1.16666666666665,-0.424726176320313,0.942848798230613,-0.187852933506355,-1.09112981216941,-0.987466323270096,1.03380144307361,-0.666666666666667,1.05409255338946,-1.02415958419653,-0.014967440339514,0.666666666666667,-0.365522704999033,0.492414472074498,-1.17690241274773,-0.63779033722223,-0.0474398743963536,0.709116598259121,-0.496390226337192,0.722440192120832,1.98069978367976,-0.74122293775301
"GBL",0.020085587911347,0.361978839121997,-1.41730077953003,-0.764719112901872,1.21003973851401,-0.770500352115264,0.851507002427319,0.388966494991249,0.135260848588238,-0.455742478363924,-0.451231316590094,-0.901042545787878,-0.333333333333185,1.69720036709281,2.12753219081258,-1.67152846219373,-0.60655898595476,1.86079468272964,1.04881000441135,-0.666666666666667,-0.843274042711568,0.487894583137505,-0.685392792244828,-1.33333333333333,1.19270922981805,-0.702074360568785,0.149396370094887,0.838392380881294,0.883520023221391,-0.294730905150199,0.896590065180474,1.20989797090733,0.878376965113308,-0.29230997703798
"PC",0.701847829016502,0.827226924702014,-1.41730077953003,0.611775290321498,1.42290860798339,-0.514725711382867,1.30356508204518,-0.262829008652461,0.307768753488767,-0.374983763465007,-0.451231316590094,0.257440727367965,-0.333333333333185,0.830652515929966,-0.352037700638053,-0.232335873669407,1.24718926948107,-0.255945737029727,0.787730234096569,-0.666666666666667,1.05409255338946,0.923564148873547,0.951446886138586,-1.33333333333333,-0.365522704999033,1.20525584486214,0.0470046256095201,-0.637790337222225,-1.31392782635069,-0.881407194935538,-0.819971717944979,-0.00349151766827695,0.24721058343181,-0.123238156833399
"GC",0.660528905313159,-1.07059555980638,-0.446203703415439,1.98826969354487,0.260903544985502,-0.649803492700077,1.4622814106055,1.77643320026521,0.233845267990703,-1.59254450290791,2.4698977329142,0.792125314978355,-0.333333333333185,0.444692592143444,0.391833266797138,0.43068751861586,0.841390131770403,0.0397753510248897,1.1673624880846,-0.666666666666667,-0.843274042711568,-1.02415958419653,-1.10066133778339,0.666666666666667,-0.365522704999033,0.548468524075144,-0.0184321526669484,1.93651085716713,-0.85625761451481,0.365930955265495,-2.02732425833967,0.0596368766871582,0.0153620001504438,-0.109337454433894
